fecha,producto,ventas,region
2024-01-01,Producto A,1500,Amazonas
2024-01-02,Producto B,2300,Pacífico
2024-01-03,Producto C,1800,Andina
2024-01-04,Producto D,250000,Caribe  # Outlier
2024-01-05,Producto E,3200,Bogotá
2024-01-06,Producto A,4500,Medellín
2024-01-07,Producto B,1900,Cali
2024-01-08,Producto C,2100,Barranquilla
2024-01-09,Producto D,4800,Bucaramanga
2024-01-10,Producto E,2700,Pereira
2024-01-11,Producto A,1600,Amazonas
2024-01-12,Producto B,2400,Pacífico
2024-01-13,Producto C,1700,Andina
2024-01-14,Producto D,255000,Caribe  # Outlier
2024-01-15,Producto E,3300,Bogotá
2024-01-16,Producto A,4600,Medellín
2024-01-17,Producto B,2000,Cali
2024-01-18,Producto C,2200,Barranquilla
2024-01-19,Producto D,4900,Bucaramanga
2024-01-20,Producto E,2800,Pereira
2024-01-21,Producto A,1550,Amazonas
2024-01-22,Producto B,2350,Pacífico
2024-01-23,Producto C,1850,Andina
2024-01-24,Producto D,258000,Caribe  # Outlier
2024-01-25,Producto E,3400,Bogotá
2024-01-26,Producto A,4700,Medellín
2024-01-27,Producto B,2100,Cali
2024-01-28,Producto C,2300,Barranquilla
2024-01-29,Producto D,5000,Bucaramanga
2024-01-30,Producto E,2900,Pereira
2024-01-31,Producto A,1650,Amazonas
2024-02-01,Producto B,2450,Pacífico
2024-02-02,Producto C,1950,Andina
2024-02-03,Producto D,260000,Caribe  # Outlier
2024-02-04,Producto E,3500,Bogotá
2024-02-05,Producto A,4800,Medellín
2024-02-06,Producto B,2200,Cali
2024-02-07,Producto C,2400,Barranquilla
2024-02-08,Producto D,5100,Bucaramanga
2024-02-09,Producto E,3000,Pereira
2024-02-10,Producto A,1700,Amazonas
2024-02-11,Producto B,2500,Pacífico
2024-02-12,Producto C,2000,Andina
2024-02-13,Producto D,265000,Caribe  # Outlier
2024-02-14,Producto E,3600,Bogotá
2024-02-15,Producto A,4900,Medellín
2024-02-16,Producto B,2300,Cali
2024-02-17,Producto C,2500,Barranquilla
2024-02-18,Producto D,5200,Bucaramanga
2024-02-19,Producto E,3100,Pereira
2024-02-20,Producto A,1800,Amazonas
2024-02-21,Producto B,2600,Pacífico
2024-02-22,Producto C,2100,Andina
2024-02-23,Producto D,270000,Caribe  # Outlier
2024-02-24,Producto E,3700,Bogotá
2024-02-25,Producto A,5000,Medellín
2024-02-26,Producto B,2400,Cali
2024-02-27,Producto C,2600,Barranquilla
2024-02-28,Producto D,5300,Bucaramanga
2024-03-01,Producto E,3200,Pereira
2024-03-02,Producto A,1900,Amazonas
2024-03-03,Producto B,2700,Pacífico
2024-03-04,Producto C,2200,Andina
2024-03-05,Producto D,275000,Caribe  # Outlier
2024-03-06,Producto E,3800,Bogotá
2024-03-07,Producto A,5100,Medellín
2024-03-08,Producto B,2500,Cali
2024-03-09,Producto C,2700,Barranquilla
2024-03-10,Producto D,5400,Bucaramanga
2024-03-11,Producto E,3300,Pereira
2024-03-12,Producto A,2000,Amazonas
2024-03-13,Producto B,2800,Pacífico
2024-03-14,Producto C,2300,Andina
2024-03-15,Producto D,280000,Caribe  # Outlier
2024-03-16,Producto E,3900,Bogotá
2024-03-17,Producto A,5200,Medellín
2024-03-18,Producto B,2600,Cali
2024-03-19,Producto C,2800,Barranquilla
2024-03-20,Producto D,5500,Bucaramanga
2024-03-21,Producto E,3400,Pereira
