fecha,producto,ventas,region
1/01/2026,Automovil A,1500,Amazonas
2/01/2026,Automovil B,2300,Pacífico
3/01/2026,Automovil C,1800,Andina
4/01/2026,Automovil D,35000,Caribe
5/01/2026,Automovil E,3200,Bogotá
6/01/2026,Automovil A,4500,medellín
7/01/2026,Automovil B,1900,cali
8/01/2026,Automovil C,2100,barranquilla
9/01/2026,Automovil D,4800,bucaramanga
10/01/2026,Automovil E,2700,pereira
11/01/2026,Automovil A,1600,Amazonas
12/01/2026,Automovil B,2400,Pacífico
13/01/2026,Automovil C,1700,Andina
14/01/2026,Automovil D,40000,Caribe
15/01/2026,Automovil E,3300,Bogotá
16/01/2026,Automovil A,4600,medellín
17/01/2026,Automovil B,2000,cali
18/01/2026,Automovil C,2200,barranquilla
19/01/2026,Automovil D,4900,bucaramanga
20/01/2026,Automovil E,2800,pereira
21/01/2026,Automovil A,1550,Amazonas
22/01/2026,Automovil B,2350,Pacífico
23/01/2026,Automovil C,1850,Andina
24/01/2026,Automovil D,42000,Caribe
25/01/2026,Automovil E,3400,Bogotá
26/01/2026,Automovil A,4700,medellín
27/01/2026,Automovil B,2100,cali
28/01/2026,Automovil C,2300,barranquilla
29/01/2026,Automovil D,5000,bucaramanga
30/01/2026,Automovil E,2900,pereira
31/01/2026,Automovil A,1650,Amazonas
1/02/2026,Automovil B,2450,Pacífico
2/02/2026,Automovil C,1950,Andina
3/02/2026,Automovil D,45000,Caribe
4/02/2026,Automovil E,3500,Bogotá
5/02/2026,Automovil A,4800,medellín
6/02/2026,Automovil B,2200,cali
7/02/2026,Automovil C,2400,barranquilla
8/02/2026,Automovil D,5100,bucaramanga
9/02/2026,Automovil E,3000,pereira
10/02/2026,Automovil A,1700,Amazonas
11/02/2026,Automovil B,2500,Pacífico
12/02/2026,Automovil C,2000,Andina
13/02/2026,Automovil D,47000,Caribe
14/02/2026,Automovil E,3600,Bogotá
15/02/2026,Automovil A,4900,medellín
16/02/2026,Automovil B,2300,cali
17/02/2026,Automovil C,2500,barranquilla
18/02/2026,Automovil D,5200,bucaramanga
19/02/2026,Automovil E,3100,pereira
20/02/2026,Automovil A,1800,Amazonas
21/02/2026,Automovil B,2600,Pacífico
22/02/2026,Automovil C,2100,Andina
23/02/2026,Automovil D,49000,Caribe
24/02/2026,Automovil E,3700,Bogotá
25/02/2026,Automovil A,5000,medellín
26/02/2026,Automovil B,2400,cali
27/02/2026,Automovil C,2600,barranquilla
28/02/2026,Automovil D,5300,bucaramanga
1/03/2026,Automovil E,3200,pereira
2/03/2026,Automovil A,1900,Amazonas
3/03/2026,Automovil B,2700,Pacífico
4/03/2026,Automovil C,2200,Andina
5/03/2026,Automovil D,52000,Caribe
6/03/2026,Automovil E,3800,Bogotá
7/03/2026,Automovil A,5100,medellín
8/03/2026,Automovil B,2500,cali
9/03/2026,Automovil C,2700,barranquilla
10/03/2026,Automovil D,5400,bucaramanga
11/03/2026,Automovil E,3300,pereira
12/03/2026,Automovil A,2000,Amazonas
13/03/2026,Automovil B,2800,Pacífico
14/03/2026,Automovil C,2300,Andina
15/03/2026,Automovil D,55000,Caribe
16/03/2026,Automovil E,3900,Bogotá
17/03/2026,Automovil A,5200,medellín
18/03/2026,Automovil B,2600,cali
19/03/2026,Automovil C,2800,barranquilla
20/03/2026,Automovil D,5500,bucaramanga
21/03/2026,Automovil E,3400,pereira
